title,company,location,link,salary,job_type,time_posted,skills,category,scraped_date,source
Python Developer,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4274012241,Not specified,Not specified,2 weeks ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4276869135,Not specified,Not specified,2 weeks ago,"python, go",software_development,2025-08-20,LinkedIn
Python developer,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4271863142,Not specified,Not specified,2 weeks ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4258334542,Not specified,Not specified,2 weeks ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,Infosys,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4271863151,Not specified,Not specified,2 weeks ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,Infosys,"Chandigarh, Chandigarh, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4272761715,Not specified,Not specified,2 weeks ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,Infosys,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4242299754,Not specified,Not specified,1 month ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,Infosys,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4257078642,Not specified,Not specified,2 weeks ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,Infosys,"Chandigarh, Chandigarh, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4261594970,Not specified,Not specified,2 weeks ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,MakeMyTrip,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-makemytrip-4277625906,Not specified,Not specified,3 weeks ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,Infosys,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4258672293,Not specified,Not specified,1 month ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4284134360,Not specified,Not specified,6 days ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,Accenture,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/python-developer-at-accenture-4273594616,Not specified,Not specified,3 weeks ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,Infosys,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4278175083,Not specified,Not specified,2 weeks ago,"python, go",software_development,2025-08-20,LinkedIn
"Python , Django Developer",Infosys,"Chandigarh, Chandigarh, India",https://in.linkedin.com/jobs/view/python-django-developer-at-infosys-4258336247,Not specified,Not specified,2 weeks ago,"django, python, go",software_development,2025-08-20,LinkedIn
Python Developer,Jio,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-jio-4207305934,Not specified,Not specified,5 months ago,"python, go",software_development,2025-08-20,LinkedIn
"Python , Django Developer",Infosys,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/python-django-developer-at-infosys-4273028915,Not specified,Not specified,2 weeks ago,"django, python, go",software_development,2025-08-20,LinkedIn
Python Senior Developer,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/python-senior-developer-at-infosys-4272769850,Not specified,Not specified,2 weeks ago,"python, go",software_development,2025-08-20,LinkedIn
